language;length;size_min_word;size_max_word;size_average_word;number_0;number_1;variance;ecart_type;is_code
['1', '0100110', '1011101', '0', '1010011', '101100', '011'];7;1;7;4.57;14;18;47.71;6.90755280213519;0
['1010', '100', '01001', '00000', '0001', '01', '0', '001', '0011100'];9;1;7;3.78;23;11;25.56;5.055250296034367;0
['1101011', '1001001', '01000', '011', '11010', '00', '10', '010101'];8;2;7;4.62;19;18;29.88;5.465802777268862;0
['1100010', '010101', '0000', '011', '100', '0'];6;1;7;4.0;15;9;24.0;4.898979485566356;0
['11101', '0', '01', '00', '011000'];5;1;6;3.2;9;7;18.8;4.33589667773576;0
['0111', '1111011', '1101', '1001', '10', '11001', '0000011', '0', '1100'];9;1;7;4.22;16;22;31.56;5.617433182117572;0
['0101', '1011', '110101', '110', '0101100'];5;3;7;4.8;10;14;10.8;3.286335345030997;0
['010', '11001', '00', '1100100', '00', '100', '0110001', '1', '1'];9;1;7;3.44;18;13;44.22;6.649979114420002;0
['100', '11', '1101111', '1'];4;1;7;3.25;3;10;20.75;4.55521678957215;0
['11001', '001', '1', '0111100', '110111', '101', '1100'];7;1;7;4.14;11;18;24.86;4.9856938190329;0
['11101', '111', '1', '11'];4;1;5;2.75;1;10;8.75;2.958039891549808;0
['11', '100', '11001', '01', '1111000', '110', '0101', '01'];8;2;7;3.5;12;16;22.0;4.69041575982343;0
['11110', '1', '1001', '01010', '1010', '011001', '01000'];7;1;6;4.29;15;15;15.43;3.9279220242478625;0
['1101110', '001', '01', '00110', '011100', '1111111', '1', '0101101', '101', '000110'];10;1;7;4.7;19;28;46.1;6.789698078707183;0
['1101', '110', '10'];3;2;4;3.0;3;6;2.0;1.4142135623730951;0
['1', '011100', '00011', '11', '0100', '1', '1000100', '1011', '01110'];9;1;7;3.89;17;18;36.89;6.0736223860962;0
['101', '000001', '10101', '111', '00', '1', '101'];7;1;6;3.29;11;12;17.43;4.174754056057845;0
['11111', '0011', '00', '01011', '011000', '1111100', '01001'];7;2;7;4.86;15;19;14.86;3.8544964466377265;0
['1000100', '010', '011001', '0100', '100'];5;3;7;4.6;15;8;13.2;3.63318042491699;0
['101', '1010', '011', '100', '01', '100010', '0101', '1100', '000', '0011'];10;2;6;3.6;20;16;10.4;3.22490309931942;0
['0', '0100', '01000'];3;1;5;3.33;8;2;8.67;2.9439202887759492;0
['010111', '10', '1', '0001', '10100', '000100', '00000', '1011111'];8;1;7;4.5;20;16;30.0;5.477225575051661;0
['11010', '101010', '001', '0001', '11001', '11001', '0010', '11', '01', '001010'];10;2;6;4.2;22;20;19.6;4.427188724235731;0
['101011', '1', '11', '1011', '1111', '1000110', '111101'];7;1;7;4.29;8;22;29.43;5.42481072744215;0
['1101', '1', '0101', '111101', '110010', '1', '0110', '111', '1'];9;1;6;3.33;9;21;32.0;5.656854249492381;0
['100001', '010', '0001', '0', '101110', '111', '110', '10001'];8;1;6;3.88;16;15;20.88;4.568916720624267;0
['1', '0011101', '1011', '1000', '00', '0011110', '101'];7;1;7;4.0;13;15;32.0;5.656854249492381;0
['101110', '00', '11000', '011101', '0000000', '0111101', '10011', '001010', '10101'];9;2;7;5.44;26;23;18.22;4.2687494916219;0
['11101', '00', '00', '0', '0', '110'];6;1;5;2.33;8;6;11.33;3.366501646120693;0
['000', '1', '1110101', '10101', '000', '100000', '11'];7;1;7;3.86;15;12;28.86;5.3718844791323335;0
['001', '110', '1', '0100001', '10', '1001010', '0110000', '001011', '11', '011'];10;1;7;4.1;22;19;50.9;7.134423592694787;0
['1001010', '0111110', '000101', '000', '1', '0', '10000'];7;1;7;4.29;18;12;41.43;6.436503043467891;0
['1000', '1000', '011', '1', '11', '1110', '110010', '1'];8;1;6;3.12;11;14;20.88;4.568916720624267;0
['00', '110', '011', '101', '00110'];5;2;5;3.2;8;8;4.8;2.1908902300206643;0
['1111', '10010', '101', '0000', '100', '101111'];6;3;6;4.17;11;14;6.83;2.614064523559687;0
['11100', '11', '0100101', '1110', '1', '0', '0011010', '11'];8;1;7;3.62;12;17;43.88;6.623820649745885;0
['01110', '0', '010', '10', '1110'];5;1;5;3.0;7;8;10.0;3.1622776601683795;0
['000000', '0010100', '10', '111111', '1111001', '1011000', '1111', '1011', '110000'];9;2;7;5.44;23;26;24.22;4.921607686744467;0
['0010010', '0', '001001', '00111', '1', '00101', '11', '01', '11'];9;1;7;3.44;16;15;42.22;6.497862896539309;0
['01101', '100', '111100', '10', '0', '010101', '1', '10', '01', '1'];10;1;6;2.9;13;16;36.9;6.074537019394977;0
['1110110', '0010', '11011', '100010', '1', '10', '00'];7;1;7;3.86;13;14;30.86;5.554920598635309;0
['1111000', '110001', '1000010', '0', '011', '1', '0001', '100101'];8;1;7;4.38;19;16;43.88;6.623820649745885;0
['001', '01100', '011010', '010', '0011000', '01', '1100001', '10', '001001', '111000'];10;2;7;4.7;28;19;36.1;6.00832755431992;0
['00010', '01110', '0101110', '0100', '1000111', '1', '010001', '00001'];8;1;7;5.0;23;17;26.0;5.0990195135927845;0
['101011', '1101', '0111', '11', '1', '0', '100101'];7;1;6;3.43;8;16;27.71;5.264435935053794;0
['01111', '10', '1', '11', '0', '1111', '100011', '011', '0100'];9;1;6;3.11;10;18;24.89;4.988876515698588;0
['011101', '001010', '1', '100110', '10', '110', '011'];7;1;6;3.86;12;15;26.86;5.18238775634773;0
['00', '1001', '0010', '010100', '10', '0110', '01', '1001', '0', '01100'];10;1;6;3.4;21;13;22.4;4.732863826479693;0
['0', '0000010', '1000100', '10', '11', '1010', '01', '0101', '1'];9;1;7;3.33;18;12;44.0;6.633249580710799;0
['00010', '111', '01', '0110000', '11101', '10100', '001101', '1'];8;1;7;4.25;17;17;29.5;5.431390245600108;0
['101110', '0010', '111000', '00', '1011000', '0100001', '1'];7;1;7;4.71;19;14;35.43;5.9521904731427595;0
['11', '100', '1001000', '10101', '0110100', '001101', '1'];7;1;7;4.43;16;15;35.71;5.976143046671968;0
['1', '0', '0', '011', '110', '01', '00', '0'];8;1;3;1.75;8;6;5.5;2.345207879911715;0
['1', '0001111', '101101', '11', '010000', '1000', '0011', '110011'];8;1;7;4.5;17;19;32.0;5.656854249492381;0
['111101', '10100', '0001110', '0001', '0001010', '11', '0', '010', '1100'];9;1;7;4.33;21;18;36.0;6.0;0
['1100110', '111', '101101', '0111', '11', '00', '00', '010', '1111000'];9;2;7;4.0;15;21;36.0;6.0;0
['1000000', '0111', '1011', '011111', '1101', '00', '1'];7;1;7;4.0;12;16;26.0;5.0990195135927845;0
['10111', '1101', '0', '100', '00000', '1', '0', '0110', '101010'];9;1;6;3.33;16;14;30.0;5.477225575051661;0
['1', '000', '00101', '00', '100111'];5;1;6;3.4;10;7;17.2;4.147288270665544;0
['1', '100', '101100', '10011', '01', '11', '100100', '0'];8;1;6;3.25;13;13;31.5;5.612486080160912;0
['10', '100', '00010', '000101', '100001', '0010'];6;2;6;4.33;18;8;13.33;3.651483716701107;0
['00', '111', '11'];3;2;3;2.33;2;5;0.67;0.816496580927726;0
['11', '00011', '1001001', '1', '111101'];5;1;7;4.2;8;13;26.8;5.176871642217914;0
['10101', '000110', '10', '000000', '001011', '0000'];6;2;6;4.83;20;9;12.83;3.5823642100341133;0
['10', '1', '110110', '1101', '111', '100011', '101011', '01', '0001001'];9;1;7;4.11;15;22;38.89;6.236095644623235;0
['11', '010', '0101111', '01', '1', '0'];6;1;7;2.67;6;10;25.33;5.033222956847167;0
['01', '000', '100000', '011000', '1010110', '1000', '1001000', '1101101', '0'];9;1;7;4.78;27;16;43.56;6.599663291074443;0
['00', '1001111', '1', '110', '11', '1', '100', '0', '1101000'];9;1;7;3.0;12;15;46.0;6.782329983125268;0
['10000', '1100110', '000110', '0001', '1', '1', '011', '1', '011'];9;1;7;3.44;16;15;40.22;6.342099196813483;0
['10', '1110110', '1100001', '0', '1', '1', '0111'];7;1;7;3.29;9;14;45.43;6.740072064048827;0
['0100000', '0010', '00110', '000', '00101', '11', '011', '1', '10', '0110'];10;1;7;3.6;22;14;28.4;5.329165037789691;0
['0111', '10101', '1001', '0000000', '101', '101001', '111', '010', '111111', '011101'];10;3;7;4.7;20;27;20.1;4.483302354291978;0
['11', '1101010', '0', '10001', '011', '11101'];6;1;7;3.83;9;14;24.83;4.983305462575351;0
['1001010', '1011000', '0', '001', '00', '0010', '00', '011', '01', '00'];10;1;7;3.3;22;11;40.1;6.332456079595025;0
['000', '10', '0100', '101100', '00', '000001', '101110', '011'];8;2;6;4.0;20;12;22.0;4.69041575982343;0
['000', '111', '1011100', '010001', '1', '1', '1010', '010101', '1011'];9;1;7;3.89;16;19;36.89;6.0736223860962;0
['011001', '00', '0001000', '0000000'];4;2;7;5.5;18;4;17.0;4.123105625617661;0
['0100010', '100100', '00', '1101001', '11111', '0000', '00100', '10', '00', '1100000'];10;2;7;4.7;30;17;40.1;6.332456079595025;0
['000', '00', '110111'];3;2;6;3.67;6;5;8.67;2.9439202887759492;0
['001', '1', '10', '10001', '011011'];5;1;6;3.4;8;9;17.2;4.147288270665545;0
['0', '001010', '101010', '001', '100100', '0000', '011111'];7;1;6;4.57;19;13;23.71;4.869731585445518;0
['0101', '00111', '10', '0', '1110100', '001100', '001', '1010', '110', '100000'];10;1;7;4.1;23;18;32.9;5.735852159879995;0
['1101', '1010110', '010', '11', '011', '11', '1000001', '0'];8;1;7;3.62;13;16;35.88;5.989574275355469;0
['0011111', '0', '10', '0', '1100', '1', '10011', '0000'];8;1;7;3.12;13;12;34.88;5.905505905508858;0
['11110', '10', '0111', '010111', '010100', '0', '0', '000', '10'];9;1;6;3.33;15;15;32.0;5.656854249492381;0
['1', '11', '1', '101101', '101', '010111', '000110', '00', '00'];9;1;6;3.22;13;16;37.56;6.128258770283413;0
['100', '010', '10011', '11', '0010100', '1'];6;1;7;3.5;11;10;23.5;4.847679857416329;0
['010', '101', '0', '1010000', '0111', '1111110', '00', '110101', '0000', '100'];10;1;7;4.0;21;19;38.0;6.164414002968976;0
['10', '010', '01', '11', '0100', '11110'];6;2;5;3.0;8;10;8.0;2.8284271247461903;0
['0010101', '0001', '0000', '0'];4;1;7;4.0;12;4;18.0;4.242640687119285;0
['0110', '011001', '00011', '111', '1011', '0', '0011', '0110110', '0000'];9;1;7;4.22;19;19;23.56;4.853406592853679;0
['10010', '1', '1010', '0101001', '1011', '0', '0011', '0100011'];8;1;7;4.12;17;16;36.88;6.072478900745559;0
['11000', '0000', '1101', '000000', '101001', '010100', '011', '1101', '100', '01'];10;2;6;4.3;26;17;18.1;4.254409477236529;0
['1001', '100100', '011', '0001', '01', '101110', '0', '00100', '01011', '01111'];10;1;6;4.1;21;20;24.9;4.98998997994986;0
['1', '1', '1', '1', '0', '01', '0101000', '010111', '10101'];9;1;7;2.78;11;14;49.56;7.039570693980958;0
['0101011', '0011110', '01', '101100', '000', '010101', '100', '001010'];8;2;7;5.0;22;18;28.0;5.291502622129181;0
['00001', '11111', '01010', '1001', '001', '01', '010', '0110', '00'];9;2;5;3.67;18;15;12.0;3.4641016151377544;0
['10', '110', '10001', '010', '100010', '01100', '0101', '001101'];8;2;6;4.25;19;15;15.5;3.9370039370059056;0
['10', '101011', '1111100', '11', '110', '0'];6;1;7;3.5;7;14;29.5;5.431390245600108;0
['00', '011', '00011', '01000', '01101', '001', '00', '100010', '0011000'];9;2;7;4.22;25;13;25.56;5.055250296034367;0
['0', '11', '10111', '1000101', '011110', '110', '00010'];7;1;7;4.14;13;16;28.86;5.3718844791323335;0
['00', '0000', '0101', '110101', '01'];5;2;6;3.6;11;7;11.2;3.3466401061363023;0
['001', '100010', '01110', '1100', '110111', '110111', '00010', '00111', '100', '100'];10;3;6;4.6;22;24;14.4;3.794733192202055;0
['100', '010000', '01', '10', '0011111', '0101', '1', '111', '00', '01'];10;1;7;3.2;16;16;33.6;5.796550698475776;0
['1001', '11', '1101', '0000', '001', '0', '000', '110'];8;1;4;3.0;14;10;8.0;2.8284271247461903;0
['000', '1111', '00000', '010', '111', '11', '001011'];7;2;6;3.71;13;13;11.43;3.3806170189140667;0
['11000', '0110', '000', '1100111', '01', '1001100', '11'];7;2;7;4.29;15;15;27.43;5.237229365663818;0
['01', '111', '010', '101', '1000', '11', '1'];7;1;4;2.57;7;11;5.71;2.3904572186687876;0
['011', '010', '1', '10'];4;1;3;2.25;4;5;2.75;1.6583123951777;0
['0110001', '010', '11', '01', '010101', '01011', '01101', '000111'];8;2;7;4.5;17;19;26.0;5.0990195135927845;0
['0', '11100', '000'];3;1;5;3.0;6;3;8.0;2.8284271247461903;0
['1', '0', '0011011', '101000', '101', '0011', '111011', '011', '00111', '00'];10;1;7;3.8;17;21;41.6;6.44980619863884;0
['00000', '111111', '11', '100', '010101', '1', '10000', '100', '00'];9;1;6;3.67;18;15;28.0;5.291502622129181;0
['0110', '0000', '1010101', '101', '1110111', '0', '1', '101100', '01', '00111'];10;1;7;4.0;18;22;46.0;6.782329983125268;0
['000100', '0111', '01', '1110', '1', '1', '101', '00'];8;1;6;2.88;11;12;20.88;4.568916720624267;0
['011110', '0', '000', '000110', '11101'];5;1;6;4.2;11;10;18.8;4.33589667773576;0
['00', '10', '1001', '1001111', '00010', '11110', '0100101', '1110', '010', '1'];10;1;7;4.0;19;21;38.0;6.164414002968976;0
['00101', '11001', '10010', '1101', '00', '001011', '100', '00010', '01'];9;2;6;4.11;21;16;16.89;4.10960933531265;0
['01011', '1', '1001', '010000', '001100', '0', '010', '011101'];8;1;6;4.0;18;14;32.0;5.656854249492381;0
['101', '10', '1', '001010', '1', '01101', '100010', '0110'];8;1;6;3.5;14;14;30.0;5.477225575051661;0
['11', '01101', '111'];3;2;5;3.33;2;8;4.67;2.160246899469287;0
['0010001', '1', '00101', '00', '0010111', '10', '10010'];7;1;7;4.14;17;12;36.86;6.07100838882165;0
['11101', '0000000', '10', '0', '1001', '110', '100110', '001'];8;1;7;3.88;18;13;28.88;5.373546315051169;0
['11', '011000', '001', '100000', '110', '0', '011010', '101', '10'];9;1;6;3.56;18;14;30.22;5.497474167490214;0
['010', '1', '1110000', '1101', '0101', '1100101'];6;1;7;4.33;12;14;27.33;5.228129047119374;0
['00', '11', '11', '01', '001', '010', '10111', '0011100', '1010'];9;2;7;3.33;14;16;24.0;4.898979485566356;0
['011', '00010', '00', '010', '000', '01', '1011', '0111', '111110'];9;2;6;3.56;16;16;14.22;3.7712361663282534;0
['110000', '111', '111', '0001', '00', '10001', '11', '11', '0'];9;1;6;3.11;13;15;20.89;4.570436400267363;0
['001011', '001', '0010', '11011', '0000000', '01001', '0010', '00'];8;2;7;4.5;24;12;18.0;4.242640687119285;0
['001', '1100101', '01111', '10', '00', '110', '0110101', '10', '1', '1111001'];10;1;7;3.9;16;23;50.9;7.134423592694788;0
['100', '1001', '00', '1011100', '1001101', '1', '1010', '0010', '01'];9;1;7;3.78;18;16;35.56;5.962847939999438;0
['1001', '00000', '011010', '0011', '0', '1'];6;1;6;3.5;13;8;21.5;4.636809247747852;0
['1', '011101', '0', '010', '000010', '0', '0001', '011', '0011110', '000'];10;1;7;3.5;21;14;44.5;6.670832032063167;0
['101', '11', '110000', '0011100', '111', '0011', '100010', '011', '01', '1'];10;1;7;3.7;17;20;36.1;6.008327554319921;0
['0101', '101011', '01111', '011', '1011', '100', '0101100', '0110001'];8;3;7;4.88;17;22;18.88;4.344536799245692;0
['0101000', '1110', '110011', '1001110', '0001001', '101', '1011', '1111', '0'];9;1;7;4.78;19;24;35.56;5.962847939999439;0
['100', '100111', '11', '1', '1111010', '0', '00000', '1', '01', '00'];10;1;7;3.0;15;15;44.0;6.6332495807108;0
['1', '110', '0', '1000001', '1101110', '111', '110', '00', '101', '11'];10;1;7;3.2;13;19;41.6;6.449806198638839;0
['0011100', '110', '1', '1', '10011', '011', '101'];7;1;7;3.29;9;14;27.43;5.237229365663817;0
['010', '011111', '10011', '0001', '011001', '0001001', '00', '0100101', '0', '11'];10;1;7;4.3;23;20;44.1;6.640783086353597;0
['011001', '101110', '10', '01', '100', '0010111', '10', '101', '1', '10'];10;1;7;3.4;15;19;40.4;6.356099432828281;0
['111', '10', '0010', '01101', '01111', '10101', '1001101'];7;2;7;4.43;12;19;15.71;3.9641248358604595;0
['100', '00', '1110', '01101', '0111000', '11010', '0'];7;1;7;3.86;14;13;24.86;4.985693819032899;0
['011', '00010', '010000', '11', '100011', '0', '0', '11', '101011'];9;1;6;3.56;17;15;38.22;6.182412330330469;0
['0001', '01', '0100', '01', '1', '01001', '10', '1', '100001'];9;1;6;3.0;16;11;26.0;5.0990195135927845;0
['0', '0', '1001111', '10101', '0110010', '011111', '10011', '110', '10001'];9;1;7;4.44;17;23;42.22;6.497862896539309;0
['11', '1110', '110', '0'];4;1;4;2.5;3;7;5.0;2.23606797749979;0
['11101', '1101', '0', '110000', '010011', '011', '010'];7;1;6;4.0;13;15;20.0;4.47213595499958;0
['1001111', '1', '11', '101'];4;1;7;3.25;3;10;20.75;4.55521678957215;0
['1', '00', '101101', '1111', '01001', '11110', '001', '100011'];8;1;6;4.0;13;19;24.0;4.898979485566356;0
['0011', '010', '111001', '101', '1000010', '0'];6;1;7;4.0;13;11;24.0;4.898979485566356;0
['101', '1', '0111', '0011', '000', '00', '0101100', '01', '01011', '0011'];10;1;7;3.5;18;17;26.5;5.1478150704935;0
['0011', '000', '0000', '110', '10001', '0111', '0111111', '10001', '1110'];9;3;7;4.33;19;20;12.0;3.4641016151377544;0
['1', '1011100', '1011010', '01', '0', '0011', '11100', '0010001', '0001011'];9;1;7;4.56;21;20;56.22;7.4981479194679945;0
['11001', '1000', '11', '00110', '1', '110110', '0'];7;1;6;3.43;11;13;25.71;5.070925528371099;0
['1101', '0101100', '1111001', '011', '01', '1', '000000', '1'];8;1;7;3.88;15;16;44.88;6.698880503487131;0
['00000', '010', '100', '101101', '11', '1010010', '010110', '1', '1001101'];9;1;7;4.44;21;19;40.22;6.342099196813483;0
['110010', '1', '1', '01', '111001'];5;1;6;3.2;6;10;26.8;5.176871642217914;0
['10000', '01', '1001001', '011', '101111', '1', '11110'];7;1;7;4.14;12;17;28.86;5.3718844791323335;0
['00101', '0', '0111', '1101011', '11000', '1', '1000'];7;1;7;3.86;13;14;28.86;5.3718844791323335;0
['10', '000', '1000', '10111', '0011', '01', '001', '101000', '01100', '01111'];10;2;6;3.9;21;18;16.9;4.110960958218893;0
['0011', '1', '100', '110', '0010001', '11001', '0010'];7;1;7;3.86;15;12;20.86;4.566962103755937;0
['1001001', '000101', '1000001', '000101', '010', '1', '1110', '100101', '01101', '10110'];10;1;7;5.0;27;23;32.0;5.656854249492381;0
['0101', '0', '100', '1000', '111111', '0', '001'];7;1;6;3.14;11;11;18.86;4.342481186734475;0
['1', '011010', '111', '0111', '10010', '00100', '1111100', '1', '00011'];9;1;7;4.11;16;21;34.89;5.9066817155564495;0
['1', '0101', '0', '1001', '0', '0110', '01010', '01110', '0110'];9;1;5;3.22;15;14;23.56;4.853406592853679;0
['11', '1', '00010', '000'];4;1;5;2.75;7;4;8.75;2.958039891549808;0
['0100', '1100', '1101', '000111', '001', '010001', '0001101', '11', '0101', '10000'];10;2;7;4.5;25;20;20.5;4.527692569068709;0
['10', '0100100', '0100001', '00000', '10110', '1110011', '010', '01001', '0001110', '1100001'];10;2;7;5.5;33;22;30.5;5.522680508593631;0
['0', '11', '11001', '11', '010010', '0100', '100', '100', '00010'];9;1;6;3.44;18;13;22.22;4.714045207910317;0
['0000011', '1001011', '000', '10010', '1111', '0', '1', '0111001'];8;1;7;4.38;18;17;45.88;6.773108592072033;0
['1100', '0', '0010110', '100', '1100010', '11010', '10', '11'];8;1;7;3.88;16;15;36.88;6.072478900745559;0
['1010001', '10', '1000', '01', '1000000', '1011011', '0110010', '111110', '0101'];9;2;7;5.11;24;22;36.89;6.0736223860962;0
['01111', '1001010', '10111', '0', '1', '00111'];6;1;7;4.0;9;15;30.0;5.477225575051661;0
['11', '011', '100011', '001', '11000', '111100'];6;2;6;4.17;11;14;14.83;3.851406669430448;0
['1110001', '0000', '110111', '01', '00', '100001', '010110', '10', '00', '1100'];10;2;7;4.1;23;18;36.9;6.074537019394976;0
['00000', '0', '001', '0110110', '111'];5;1;7;3.8;11;8;20.8;4.560701700396552;0
['010111', '10', '101111', '011101', '01', '001111', '00001', '01', '0'];9;1;6;4.0;15;21;38.0;6.164414002968976;0
['101', '10', '111101', '0100110', '000', '0010', '001', '010', '001011', '001'];10;2;7;4.0;22;18;26.0;5.0990195135927845;0
['101', '1111', '00', '01', '101101', '10', '0100', '000'];8;2;6;3.25;13;13;13.5;3.6742346141747673;0
['11111', '10001', '1101011', '1011101', '01010', '101100', '01101', '011', '00101', '1'];10;1;7;4.9;19;30;28.9;5.375872022286245;0
['110', '011110', '1010', '1000', '01', '11100', '101110', '0011', '1000', '0'];10;1;6;3.9;19;20;22.9;4.78539444560216;0
['0101', '01001', '0010001', '1110100', '001', '1001', '00', '1111', '0101'];9;2;7;4.44;21;19;22.22;4.714045207910317;0
['0', '00', '1101', '00', '11101', '0011', '00110', '0', '1111', '0010111'];10;1;7;3.5;16;19;34.5;5.873670062235365;0
['0011', '0011110', '01000', '1001001', '11', '1', '000101', '1110110'];8;1;7;4.88;19;20;38.88;6.234981956669963;0
['00', '0111', '0101', '0', '100010', '0110101', '011000', '10111', '01'];9;1;7;4.11;19;18;34.89;5.9066817155564495;0
['1', '0011110', '100111', '100100', '101', '10101', '1', '01', '010110'];9;1;7;4.11;16;21;44.89;6.69991708074726;0
['11000', '101111', '1', '000', '11', '0110001', '01100'];7;1;7;4.14;14;15;28.86;5.3718844791323335;0
['1000', '0', '1011011', '00', '111010', '000101'];6;1;7;4.33;14;12;29.33;5.41602560309064;0
['00001', '1', '000011', '100111', '1', '111', '10', '10', '111011'];9;1;6;3.56;13;19;38.22;6.182412330330469;0
['00', '000011', '011011', '01', '0010', '000111', '11111', '10', '110', '1'];10;1;6;3.7;17;20;34.1;5.8395205282625735;0
['11', '01001', '11', '100110', '11', '000', '11011', '11', '1111'];9;2;6;3.44;10;21;20.22;4.4969125210773475;0
['1', '11', '0000', '10001', '0111111', '011', '11001', '1100010'];8;1;7;4.25;15;19;33.5;5.787918451395113;0
['000011', '00', '10', '01001', '0010'];5;2;6;3.8;13;6;12.8;3.577708763999664;0
['011010', '000', '1000100', '0', '00', '000110', '10111', '110000', '0101001'];9;1;7;4.78;27;16;39.56;6.289320754704403;0
['0', '1', '1001101', '01000', '0101', '00'];6;1;7;3.33;12;8;29.33;5.416025603090641;0
['0', '101111', '0', '0110', '1', '110111', '1', '00', '001000'];9;1;6;3.11;13;15;44.89;6.699917080747261;0
['10010', '010101', '0000', '1', '01110', '0010', '10101'];7;1;6;4.29;17;13;15.43;3.9279220242478625;0
['10', '100000', '01', '0', '1', '1001', '00111', '0101', '010000', '110100'];10;1;6;3.7;22;15;38.1;6.172519744804386;0
['00111', '1', '111', '1001', '1011010', '01', '00', '1111'];8;1;7;3.5;10;18;26.0;5.0990195135927845;0
['0111', '0001', '0101000', '00', '00011', '101001', '100011'];7;2;7;4.86;20;14;16.86;4.105745103771404;0
['1', '00', '0110100', '1110111', '10', '0', '11', '100001', '0001'];9;1;7;3.56;16;16;50.22;7.086763875156433;0
['0', '100100', '1001011', '0', '1010000', '10', '01'];7;1;7;3.71;16;10;47.43;6.8868404532536855;0
['10111', '1001', '0000', '01011', '10001', '11', '0100', '0', '0000'];9;1;5;3.78;20;14;15.56;3.9440531887330774;0
['101', '110011', '011', '011111', '00', '0111011', '11', '0111010', '101110'];9;2;7;4.67;14;28;36.0;6.0;0
['111', '11', '0', '10', '1', '00101', '010'];7;1;5;2.43;7;10;11.71;3.422613871631697;0
['0001010', '010', '0', '110010', '0101110', '111', '11100'];7;1;7;4.57;16;16;31.71;5.631543812693436;0
['011', '010010', '1110', '0101101', '10', '010010', '111001', '10100', '1'];9;1;7;4.44;19;21;34.22;5.849976258261416;0
['0', '0001111', '00', '101100'];4;1;7;4.0;9;7;26.0;5.0990195135927845;0
['1100', '1011', '0110', '011', '0000101', '1'];6;1;7;3.83;11;12;18.83;4.339738855430513;0
['1', '1', '1010101', '101111', '110100', '0011', '110', '10000', '0'];9;1;7;3.78;15;19;45.56;6.749485577105529;0
['1', '10111', '0110010', '000', '0', '00111', '11', '1111000'];8;1;7;3.88;14;17;42.88;6.547900426854397;0
['101', '11', '101000', '1', '01110'];5;1;6;3.4;7;10;17.2;4.147288270665545;0
['1110010', '0', '111', '11', '1', '001011', '101'];7;1;7;3.29;8;15;33.43;5.7817446699565895;0
['1000010', '101000', '0101010', '110', '00010', '1', '11', '010010', '1000', '1110001'];10;1;7;4.8;28;20;43.6;6.603029607687671;0
['0', '00011', '1010011', '00', '11001', '010000', '1000'];7;1;7;4.29;19;11;27.43;5.237229365663817;0
['1111', '000', '1101', '101', '1011', '0', '1', '1100001', '110110'];9;1;7;3.67;13;20;32.0;5.656854249492381;0
['10', '010', '11', '10', '11', '11', '101010'];7;2;6;2.71;7;12;13.43;3.6645015252516173;0
['11101', '1000', '00', '11', '101', '00000', '0110101', '00111', '1111'];9;2;7;4.11;17;20;20.89;4.570436400267362;0
['11111', '10101', '0101', '0', '0101010', '11110', '111', '1101111'];8;1;7;4.62;11;26;27.88;5.2796780204857185;0
['01', '00', '1', '011', '1000100', '00'];6;1;7;2.83;11;6;22.83;4.7784237289438165;0
['10100', '01001', '010', '10111', '0010', '1', '011100', '0010011', '10000', '0011011'];10;1;7;4.8;26;22;29.6;5.440588203494177;0
['0', '000', '00', '0001000', '00110', '01', '01011'];7;1;7;3.57;18;7;27.71;5.264435935053794;0
['0', '1000000', '10111', '0011', '0101', '0', '000', '011'];8;1;7;3.5;17;11;28.0;5.291502622129181;0
['101101', '100001', '00', '101010', '1', '011001', '1010000', '00', '01010', '11'];10;1;7;4.3;24;19;46.1;6.789698078707183;0
['0', '00', '01'];3;1;2;1.67;4;1;0.67;0.816496580927726;0
['1101', '10110', '1', '10', '101110', '1', '1111', '1000000'];8;1;7;3.75;12;18;35.5;5.958187643906492;0
['0', '000', '101'];3;1;3;2.33;5;2;2.67;1.632993161855452;0
['1101', '0', '100100', '0', '1011', '010', '0001', '1'];8;1;6;3.0;13;11;24.0;4.898979485566356;0
['111', '0', '001111', '01111', '11100', '1'];6;1;6;3.5;6;15;23.5;4.847679857416329;0
['00', '00000'];2;2;5;3.5;7;0;4.5;2.1213203435596424;0
['01', '101', '0', '1001100', '1000000', '1110111', '1111100'];7;1;7;4.86;16;18;44.86;6.697547525560595;0
['1', '110111', '01', '001', '0011'];5;1;6;3.2;6;10;14.8;3.847076812334269;0
['1', '0', '000', '0', '01100', '0'];6;1;5;2.0;9;3;14.0;3.7416573867739413;0
['0', '11', '10110', '1110011', '1', '001011', '1'];7;1;7;3.29;8;15;41.43;6.436503043467891;0
['000', '0001', '1111111', '1001', '111', '11011', '10000'];7;3;7;4.43;13;18;11.71;3.422613871631697;0
['0', '001', '000', '1010', '0011011', '011', '00', '011110', '0011'];9;1;7;3.67;18;15;28.0;5.291502622129181;0
['00', '0000', '0101101', '11', '000011', '10', '01111', '1111100', '0'];9;1;7;4.0;18;18;44.0;6.6332495807108;0
['10', '1100', '11', '1001', '0000', '1110', '010100', '1011011', '1010110', '1100000'];10;2;7;4.7;24;23;34.1;5.8395205282625735;0
['0', '0', '10110', '0', '01001', '000000', '0100'];7;1;6;3.29;17;6;29.43;5.42481072744215;0
['11', '0011010', '00000', '0', '011011', '1011'];6;1;7;4.17;13;12;26.83;5.180090089306685;0
['0110000', '1100111', '11000', '1010111', '01000', '0', '00100', '00', '1'];9;1;7;4.44;23;17;50.22;7.086763875156433;0
